id,hz,py,hv,pos,mn,audioUrl,mw,exSample,exPinyin,exMeaning,hskLevel,hanVietLevel,isPublished,createdAt
w-zuo2,做,zuò,tố,v,"{""vi"": ""làm, làm việc, thực hiện"", ""en"": ""do""}",,,我们什么也做不了。,Wǒmen shénme yě zuò bùliǎo.,"{""vi"": ""Chúng ta không thể làm gì được."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kai,开,kāi,khai,v,"{""vi"": ""mở, bật; lái (xe)"", ""en"": ""to drive (a vehicle)""}",,,他开车开得很稳。,Tā kāichē kāi dé hěn wěn.,"{""vi"": ""Anh ấy lái xe rất vững tay lái."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zhao,找,zhǎo,tảo,v,"{""vi"": ""tìm"", ""en"": ""look for; give change""}",,,她在找工作。,Tā zài zhǎo gōngzuò.,"{""vi"": ""Cô ấy đang tìm việc làm."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-shui2,睡,shuì,thụy,v,"{""vi"": ""ngủ"", ""en"": ""sleep""}",,,你几点睡觉？,Nǐ jǐ diǎn shuìjiào?,"{""vi"": ""Bạn đi ngủ lúc mấy giờ?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiuxi,休息,xiūxi,hưu tức,v,"{""vi"": ""nghỉ ngơi"", ""en"": ""rest""}",,,我想休息一会儿。,Wǒ xiǎng xiūxi yīhuìr.,"{""vi"": ""Tôi muốn nghỉ một lát."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-chang,唱,chàng,xướng,v,"{""vi"": ""hát"", ""en"": ""sing""}",,,他喜欢唱中国歌。,Tā xǐhuan chàng zhōngguó gē.,"{""vi"": ""Anh ấy thích hát bài hát Trung Quốc."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-chuan,穿,chuān,xuyên,v,"{""vi"": ""mặc"", ""en"": ""wear""}",,,你明天穿什么？,Nǐ míngtiān chuān shénme?,"{""vi"": ""Ngày mai bạn mặc gì?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mai,卖,mài,mại,v,"{""vi"": ""bán"", ""en"": ""sell""}",,,这家店卖衣服。,Zhè jiā diàn mài yīfu.,"{""vi"": ""Cửa hàng này bán quần áo."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-mai2,买,mǎi,mãi,v,"{""vi"": ""mua"", ""en"": ""buy""}",,,我喜欢买衣服。,Wǒ xǐhuan mǎi yīfu.,"{""vi"": ""Tôi thích mua quần áo."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-gei,给,gěi,cấp,v,"{""vi"": ""cho"", ""en"": ""[v] give; [prep] for, no""}",,,你给我一点时间。,Nǐ gěi wǒ yīdiǎn shíjiān.,"{""vi"": ""Tôi cho bạn một quyển sách."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jiao,叫,jiào,khiếu,v,"{""vi"": ""gọi, kêu"", ""en"": ""call; asked""}",,,你叫什么名字？,Nǐ jiào shénme míngzì?,"{""vi"": ""Bạn tên là gì?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jie2,接,jiē,tiếp,v,"{""vi"": ""đón; tiếp; chào đón"", ""en"": ""to meet; to welcome; to receive""}",,,我们在门口接老师。,Wǒmen zài ménkǒu jiē lǎoshī.,"{""vi"": ""Chúng tôi đón giáo viên ở cửa."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shuo,说,shuō,thuyết,v,"{""vi"": ""nói"", ""en"": ""speak""}",,,他会说汉语。,Tā huì shuō hànyǔ.,"{""vi"": ""Anh ấy biết nói tiếng Trung."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-wen,问,wèn,vấn,v,"{""vi"": ""hỏi"", ""en"": ""ask, inquire""}",,,不懂就问老师。,Bù dǒng jiù wèn lǎoshī.,"{""vi"": ""Không hiểu thì hỏi giáo viên."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-du,读,dú,độc,v,"{""vi"": ""đọc"", ""en"": ""read""}",,,他在读一本书。,Tā zài dú yī běn shū.,"{""vi"": ""Anh ấy đang đọc một cuốn sách."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xie,写,xiě,tả,v,"{""vi"": ""viết"", ""en"": ""write""}",,,我喜欢写汉字。,Wǒ xǐhuan xiě hànzì.,"{""vi"": ""Tôi thích viết chữ Hán."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-tingxie,听写,tīngxiě,thính tả,v,"{""vi"": ""nghe viết"", ""en"": ""dictation; dictate""}",,,请你听写这段话。,Qǐng nǐ tīngxiě zhè duàn huà.,"{""vi"": ""Bạn hãy nghe viết đoạn này."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shuohua,说话,shuōhuà,thuyết thoại,v,"{""vi"": ""nói, trò chuyện"", ""en"": ""talk""}",,,我想和你说话。,Wǒ xiǎng hé nǐ shuōhuà.,"{""vi"": ""Tôi muốn nói chuyện với bạn."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-kaiche,开车,kāichē,khai xa,v,"{""vi"": ""lái xe"", ""en"": ""drive""}",,,他开车去上班。,Tā kāichē qù shàngbān.,"{""vi"": ""Anh ấy lái xe đi làm."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-changge,唱歌,chànggē,xướng ca,v,"{""vi"": ""hát, ca hát, hát hò"", ""en"": ""sing a song""}",,,他每天都会唱歌。,Tā měitiān dōu huì chànggē.,"{""vi"": ""Anh ấy hát mỗi ngày."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-shuijiao,睡觉,shuìjiào,thụy giác,v,"{""vi"": ""ngủ"", ""en"": ""go to bed""}",,,他睡觉了。,Tā shuìjiàole.,"{""vi"": ""Anh ấy đi ngủ rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dushu,读书,dúshū,độc thư,v,"{""vi"": ""đọc sách"", ""en"": ""reading; study""}",,,我每天都读书。,Wǒ měitiān dōu dúshū.,"{""vi"": ""Tôi đọc sách mỗi ngày."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-fangjia,放假,fàngjià,phóng giả,v,"{""vi"": ""nghỉ, nghỉ định kỳ"", ""en"": ""holiday; have a holiday""}",,,放假期间，我打算去中国旅游。,"Fàngjià qíjiān, wǒ dǎsuàn qù zhōngguó lǚyóu.","{""vi"": ""Trong kỳ nghỉ của tôi, tôi dự định đi du lịch đến Trung Quốc."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiayu,下雨,xià yǔ,hạ vũ,v,"{""vi"": ""đổ mưa"", ""en"": ""rain""}",,,今天下雨了。,Hôm nay trời mưa rồi.,"{""vi"": ""Done"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-hui,会,huì,hội,v,"{""vi"": ""sẽ, biết làm"", ""en"": ""can; be able to; be likely to, be sure to""}",,,我会说汉语。,Wǒ huì shuō hànyǔ.,"{""vi"": ""Tôi biết nói tiếng Hán."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xiang,想,xiǎng,tưởng,aux,"{""vi"": ""muốn, định, mong muốn"", ""en"": ""want; would like""}",,,我想学习汉语。,Wǒ xiǎng xuéxí Hànyǔ.,"{""vi"": ""Tôi muốn học tiếng Trung."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-neng,能,néng,năng,v,"{""vi"": ""có thể"", ""en"": ""can""}",,,他能开车。,Tā néng kāichē.,"{""vi"": ""Anh ấy có thể lái xe."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-yao2,要,yào,yếu,v,"{""vi"": ""cần; cần phải; lấy; muốn lấy"", ""en"": ""to need; to take; to want""}",,,她要一杯水。,Tā yào yībēi shuǐ.,"{""vi"": ""Cô ấy muốn một cốc nước."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-keyi,可以,kěyǐ,khả dĩ,v,"{""vi"": ""có thể"", ""en"": ""can, may""}",,,你可以告诉我吗？,Nǐ kěyǐ gàosù wǒ ma?,"{""vi"": ""Bạn có thể nói cho tôi không?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-renshi,认识,rènshi,nhận thức,v,"{""vi"": ""biết, quen"", ""en"": ""[v] recognize, know; [n] understanding, knowledge""}",,,我认识他。,Wǒ rènshi tā.,"{""vi"": ""Tôi quen anh ấy."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ai,爱,ài,ái,n,"{""vi"": ""yêu, thích, quý"", ""en"": ""love, like""}",,,我很爱我的父母。,Wǒ hěn ài wǒ de fùmǔ.,"{""vi"": ""Tôi rất yêu bố mẹ của mình."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xiang2,想,xiǎng,tưởng,v,"{""vi"": ""nhớ"", ""en"": ""miss""}",,,她常常想家。,Tā chángcháng xiǎng jiā.,"{""vi"": ""Cô ấy thường xuyên nhớ nhà."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-xihun,喜欢,xǐhuɑn,hỉ hoan,v,"{""vi"": ""thích, được yêu thích"", ""en"": ""like, be fond of""}",,,我喜欢你。,Wǒ xǐhuan nǐ.,"{""vi"": ""Tôi thích bạn."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-juede,觉得,juéde,giác đắc,v,"{""vi"": ""cảm thấy"", ""en"": ""think; feel""}",,,我觉得今天很冷。,Wǒ juéde jīntiān hěn lěng.,"{""vi"": ""Tôi cảm thấy hôm nay rất lạnh."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-guanshang,关上,guānshàng,quan thượng,v,"{""vi"": ""khép vào, đóng vào"", ""en"": ""close; turn off""}",,,他忘了关上门。,Tā wàng le guānshàng mén.,"{""vi"": ""Anh ấy quên đóng cửa lại."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-he2,和,hé,hòa,prep,"{""vi"": ""với; cùng với"", ""en"": ""with""}",,,我和他一起去买门票。,Wǒ hé tā yīqǐ qù mǎi ménpiào.,"{""vi"": ""Tôi đi cùng anh ấy mua vé."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dui,对,duì,đối,prep,"{""vi"": ""biểu thị tính chính xác; đối với ai/việc gì"", ""en"": ""to; toward; with regard to""}",,,他对我很好。,Tā duì wǒ hěn hǎo.,"{""vi"": ""Anh ấy đối với tôi rất tốt."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zhaodao,找到,zhǎodào,tảo đáo,v,"{""vi"": ""tìm thấy"", ""en"": ""find""}",,,我找到书了。,Wǒ zhǎodào shū le.,"{""vi"": ""Tôi tìm thấy sách rồi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jizhu,记住,jìzhù,ký trụ,v,"{""vi"": ""nhớ kĩ"", ""en"": ""memorize, remember""}",,,请记住我的话。,Qǐng jìzhù wǒ de huà.,"{""vi"": ""Hãy nhớ lời của tôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-he3,和,hé,hòa,conj,"{""vi"": ""và"", ""en"": ""and""}",,,我喜欢猫和狗。,Wǒ xǐhuan māo hé gǒu.,"{""vi"": ""Tôi thích mèo và chó."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-na,那,nà,na,conj,"{""vi"": ""vậy thì, thế thì, khi đó"", ""en"": ""then, in that case""}",,,那我们走吧。,Nà wǒmen zǒu ba.,"{""vi"": ""Vậy thì chúng ta đi thôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zhi,只,zhī,chích,mw,"{""vi"": ""con; chiếc (đơn vị đếm)"", ""en"": ""(measure word for animals or single items)""}",,,她养了一只狗。,Tā yǎng le yī zhī gǒu.,"{""vi"": ""Cô ấy nuôi một con chó."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-kou2,口,kǒu,khẩu,mw,"{""vi"": ""lượng từ chỉ người trong gia đình"", ""en"": ""family member, knife, well, water in mouth, etc""}",,"family member, knife, well, water in mouth, etc",你家有几口人？,Nǐ jiā yǒu jǐ kǒu rén?,"{""vi"": ""Nhà bạn có mấy người?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-sui,岁,suì,tuế,mw,"{""vi"": ""tuổi"", ""en"": ""year, age""}",,,我今年二十岁。,Wǒ jīnnián èrshí suì.,"{""vi"": ""Năm nay tôi 20 tuổi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ben,本,běn,bản,mw,"{""vi"": ""cuốn, quyển, tập"", ""en"": ""a measure word for books""}",,,那本书很好看。,Nà běn shū hěn hǎokàn.,"{""vi"": ""Quyển sách kia rất hay."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jia,家,jiā,gia,mw,"{""vi"": ""lượng từ dùng cho cơ sở kinh doanh, cửa hàng, công ty, nhà hàng…"", ""en"": ""measure word for establishments (shop, company, restaurant, etc.)""}",,,这条街上有三家饭店。,Zhè tiáo jiē shàng yǒu sān jiā fàndiàn.,"{""vi"": ""Trên con phố này có ba nhà hàng."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-jian2,件,jiàn,kiện,mw,"{""vi"": ""lượng từ dùng cho quần áo, sự việc, đồ vật riêng lẻ"", ""en"": ""measure word for clothing, matters, individual items""}",,,我买了一件衣服。,Wǒ mǎile yí jiàn yīfu.,"{""vi"": ""Tôi đã mua một cái áo."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-jin,斤,jīn,cân,mw,"{""vi"": ""cân (đơn vị trọng lượng, 1 斤 = 500 gram ở Trung Quốc)"", ""en"": ""jin; 500 grams (Chinese unit of weight)""}",,,我买了一斤苹果。,Wǒ mǎile yì jīn píngguǒ.,"{""vi"": ""Tôi đã mua một cân táo."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-kuai,块,kuài,khối,mw,"{""vi"": ""tệ [đơn vị tiền tệ]"", ""en"": ""piece, lump""}",,,这本书十块钱。,Zhè běn shū shí kuài qián.,"{""vi"": ""Quyển sách này mười tệ."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-mao2,毛,máo,mao,mw,"{""vi"": ""lượng từ"", ""en"": ""unit of money, equal to a tenth of a yuan""}",,,那个苹果两毛钱。,Nàgè píngguǒ liǎng máo qián.,"{""vi"": ""Quả táo đó giá hai hào."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-yuan,元,yuán,nguyên,mw,"{""vi"": ""đồng [đơn vị tiền tệ]"", ""en"": ""a standard monetary unit in China""}",,,这本书十元。,Zhè běn shū shí yuán.,"{""vi"": ""Quyển sách này mười đồng."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-fen,分,fēn,phân,mw,"{""vi"": ""phút (đơn vị đo thời gian)"", ""en"": ""minute""}",,,再等五分吧。,Zài děng wǔ fēn ba.,"{""vi"": ""Đợi thêm năm phút nữa nhé."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-feichang,非常,fēicháng,phi thường,adv,"{""vi"": ""vô cùng, hết sức, rất"", ""en"": ""very""}",,,他非常高兴。,Tā fēicháng gāoxìng.,"{""vi"": ""Anh ấy vô cùng vui."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-hen,很,hěn,ngận,adv,"{""vi"": ""rất"", ""en"": ""very""}",,,这本书很好看。,Zhè běn shū hěn hǎokàn.,"{""vi"": ""Quyển sách này rất hay."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-tai,太,tài,thái,adv,"{""vi"": ""quá"", ""en"": ""too""}",,,我今天太累了。,Wǒ jīntiān tài lèi le.,"{""vi"": ""Hôm nay tôi quá mệt rồi."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-zhen,真,zhēn,chân,adv,"{""vi"": ""thật là, thật sự"", ""en"": ""[adv] really, truly; [adj] real, true""}",,,今天真热。,Jīntiān zhēn rè.,"{""vi"": ""Hôm nay thật nóng."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-hai,还,hái,hoàn,adv,"{""vi"": ""vẫn, còn"", ""en"": ""also; still; yet""}",,,我还在家里。,Wǒ hái zài jiālǐ.,"{""vi"": ""Tôi vẫn ở nhà."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-ye,也,yě,dã,adv,"{""vi"": ""cũng"", ""en"": ""also, too""}",,,他也喜欢吃苹果。,Tā yě xǐhuan chī píngguǒ.,"{""vi"": ""Anh ấy cũng thích ăn táo."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dou,都,dōu,đô,adv,"{""vi"": ""đều"", ""en"": ""all, both""}",,,我们都是学生。,Wǒmen dōu shì xuéshēng.,"{""vi"": ""Chúng tôi đều là học sinh."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-haiyou,还有,hái yǒu,hoàn hữu,,"{""vi"": ""còn có, còn nữa là"", ""en"": ""also; in addition; besides""}",,,我还有三本书。,Wǒ háiyǒu sān běn shū.,"{""vi"": ""Tôi còn ba quyển sách."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zai2,再,zài,tái,adv,"{""vi"": ""lại [chưa xảy ra]"", ""en"": ""again""}",,,请你再说一遍。,Qǐng nǐ zàishuō yībiàn.,"{""vi"": ""Bạn vui lòng nói lại một lần nữa."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-xian,先,xiān,tiên,adv,"{""vi"": ""trước"", ""en"": ""first""}",,,你先吃饭吧。,Nǐ xiān chīfàn ba.,"{""vi"": ""Bạn ăn cơm trước đi."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-ling,零,líng,linh,num,"{""vi"": ""số 0"", ""en"": ""zero""}",,,现在是十点零五分。,Xiànzài shì shí diǎn líng wǔ fēn.,"{""vi"": ""Bây giờ là 10 giờ 05 phút."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-yi,一,yī,nhất,num,"{""vi"": ""số 1"", ""en"": ""one""}",,,他买了一本书。,Tā mǎile yī běn shū.,"{""vi"": ""Anh ấy mua một quyển sách."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-er,二,èr,nhị,num,"{""vi"": ""số 2"", ""en"": ""two""}",,,我家有二只猫。,Wǒ jiā yǒu èr zhī māo.,"{""vi"": ""Nhà tôi có hai con mèo."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-san,三,sān,tam,num,"{""vi"": ""số 3"", ""en"": ""three""}",,,我有三本书。,Wǒ yǒu sān běn shū.,"{""vi"": ""Tôi có ba quyển sách."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-si,四,sì,tứ,num,"{""vi"": ""số 4"", ""en"": ""four""}",,,我有四本书。,Wǒ yǒu sì běn shū.,"{""vi"": ""Tôi có 4 quyển sách."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-wu,五,wǔ,ngũ,num,"{""vi"": ""số 5"", ""en"": ""five""}",,,我有五本书。,Wǒ yǒu wǔ běn shū.,"{""vi"": ""Tôi có 5 cuốn sách."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-liu,六,liù,lục,num,"{""vi"": ""số 6"", ""en"": ""Six""}",,,我家有六个人。,Wǒ jiā yǒu liù gè rén.,"{""vi"": ""Nhà tôi có 6 người."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-qi,七,qī,thất,num,"{""vi"": ""số 7"", ""en"": ""seven""}",,,我家有七口人。,Wǒ jiā yǒu qī kǒu rén.,"{""vi"": ""Nhà tôi có 7 người."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-jiu,九,jiǔ,cửu,num,"{""vi"": ""số 9"", ""en"": ""nine""}",,,他家有九个人。,Tā jiā yǒu jiǔ gè rén.,"{""vi"": ""Nhà anh ấy có 9 người."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-ba2,八,bā,bát,num,"{""vi"": ""số 8"", ""en"": ""eight""}",,,他买了八个苹果。,Tā mǎile bā gè píngguǒ.,"{""vi"": ""Anh ấy đã mua tám quả táo."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-shi2,十,shí,thập,num,"{""vi"": ""số 10"", ""en"": ""ten""}",,,他今年十岁了。,Tā jīnnián shí suì le.,"{""vi"": ""Năm nay anh ấy 10 tuổi."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-liang,两,liǎng,lưỡng,num,"{""vi"": ""hai"", ""en"": ""two""}",,,我有两个哥哥。,Wǒ yǒu liǎng gè gēge.,"{""vi"": ""Tôi có hai anh trai."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ji,几,jǐ,kỷ,num,"{""vi"": ""mấy, vài; bao nhiêu (dùng cho số lượng ít, thường <10)"", ""en"": ""how many; how much (small number)""}",,,你有几个朋友？,Nǐ yǒu jǐ gè péngyou?,"{""vi"": ""Bạn có mấy người bạn?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-bai,百,bǎi,bách,num,"{""vi"": ""một trăm"", ""en"": ""hundred""}",,,他有一百块钱。,Tā yǒu yībǎi kuài qián.,"{""vi"": ""Anh ấy có một trăm tệ."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-wei,喂,wèi,uy,interj,"{""vi"": ""alo"", ""en"": ""Hello""}",,,喂？谁在那儿？,Wèi? Shéi zài nàr?,"{""vi"": ""Alo, ai đó?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-di2,第,dì,đệ,,"{""vi"": ""thứ … [số thứ tự]"", ""en"": ""auxiliary word for ordinal numbers [second ]""}",,,我们学第一课。,Wǒmen xué dì yī kè.,"{""vi"": ""Chúng tôi học bài một."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-dui2,对,duì,đối,adj,"{""vi"": ""đúng"", ""en"": ""right""}",,,你的答案是对的。,Nǐ de dá'àn shì duì de.,"{""vi"": ""Đáp án của bạn là chính xác."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-bai2,白,bái,bạch,adj,"{""vi"": ""trắng"", ""en"": ""white""}",,,我喜欢白色。,Wǒ xǐhuan báisè.,"{""vi"": ""Tôi thích màu trắng."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-pianyi,便宜,piányi,tiện nghi,adj,"{""vi"": ""rẻ; giá thấp"", ""en"": ""cheap; inexpensive""}",,,这个包很便宜。,Zhège bāo hěn piányi.,"{""vi"": ""Cái túi này rất rẻ."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-gui,贵,guì,quý,adj,"{""vi"": ""đắt"", ""en"": ""expensive""}",,,这个苹果很贵。,Zhè gè píngguǒ hěn guì.,"{""vi"": ""Quả táo này rất đắt."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-zhong,重,zhòng,trọng,adj,"{""vi"": ""nặng"", ""en"": ""heavy""}",,,那块石头很重。,Nà kuài shítou hěn zhòng.,"{""vi"": ""Hòn đá kia rất nặng."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-leng,冷,lěng,lãnh,adj,"{""vi"": ""lạnh"", ""en"": ""cold""}",,,今天比昨天冷。,Jīntiān bǐ zuótiān lěng.,"{""vi"": ""Hôm nay lạnh hơn hôm qua."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-re,热,rè,nhiệt,adj,"{""vi"": ""nóng"", ""en"": ""[adj] hot; [v] heat""}",,,我觉得很热。,Wǒ juéde hěn rè.,"{""vi"": ""Tôi cảm thấy rất nóng."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-mang,忙,máng,mang,adj,"{""vi"": ""bận, bận rộn"", ""en"": ""busy""}",,,我今天很忙。,Wǒ jīntiān hěn máng.,"{""vi"": ""Hôm nay tôi rất bận."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-duo2,多,duō,đa,adj,"{""vi"": ""nhiều; nhiều lắm; rất"", ""en"": ""many; much; a lot; very""}",,,这里的人很多。,Zhèlǐ de rén hěn duō.,"{""vi"": ""Ở đây có rất nhiều người."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-piaoliang,漂亮,piàoliang,phiêu lượng,adj,"{""vi"": ""xinh đẹp, đẹp đẽ"", ""en"": ""pretty""}",,,她是个漂亮、单纯的女孩。,"Tā shìgè piàoliang, dānchún de nǚhái.","{""vi"": ""Cô ấy là một cô gái xinh đẹp và giản dị."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-gaoxing,高兴,gāoxìng,cao hứng,adj,"{""vi"": ""vui vẻ, vui mừng"", ""en"": ""happy""}",,,他今天很高兴。,Tā jīntiān hěn gāoxìng.,"{""vi"": ""Hôm nay anh ấy rất vui."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-lao,老,lǎo,lão,adj,"{""vi"": ""già, cũ, cổ"", ""en"": ""old; aged""}",,,那辆车很老了。,Nà liàng chē hěn lǎo le.,"{""vi"": ""Chiếc xe kia đã rất cũ."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-xin,新,xīn,tân,adj,"{""vi"": ""mới"", ""en"": ""new""}",,,我买了一本新书。,Wǒ mǎile yī běn xīnshū.,"{""vi"": ""Tôi mua một quyển sách mới."", ""en"": """"}",HSK1,M1,true,2026-06-29T08:29:38.000Z
w-guo,过,guo,quá,part,"{""vi"": ""[đi] qua, [bước] qua"", ""en"": ""pass, cross; spend [time]""}",,,我去过北京。,Wǒ qù guo běijīng.,"{""vi"": ""Tôi đã từng đi Bắc Kinh."", ""en"": """"}",HSK1,M2,true,2026-06-29T08:29:38.000Z
w-ne,呢,ne,ni,part,"{""vi"": ""“thì sao?”, “còn … thì sao?”"", ""en"": ""used at the end of an interrogative sentence""}",,,他在哪儿呢？,Tā zài nǎr ne?,"{""vi"": ""Anh ấy đang ở đâu vậy?"", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-ba3,吧,ba,ba,part,"{""vi"": ""nào, nhé, chứ, đi [trợ từ]"", ""en"": ""used at the end of an imperative sentence to indicate a suggestion; turn a declarative sentence into an interrogative sentence to indicate that one is sure about his or her conjecture""}",,,我们吃饭吧。,Wǒmen chīfàn ba.,"{""vi"": ""Chúng ta ăn cơm thôi."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
w-le,了,le,liễu,part,"{""vi"": ""trợ từ động thái, dùng sau động từ để biểu thị hành động đã hoàn thành"", ""en"": ""aspect particle used after a verb to indicate completion of an action""}",,,我吃了饭。,Wǒ chī le fàn.,"{""vi"": ""Tôi đã ăn cơm."", ""en"": """"}",HSK1,M3,true,2026-06-29T08:29:38.000Z
